,Title,Published_date,Views,Likes,Comments,Month
339,Water Bottle Flip Edition | Dude Perfect,18-07-2016,124422830,1730586,98764,Jul
340,Blitzball Trick Shots 2 | Dude Perfect,04-07-2016,40437098,400274,18776,Jul
341,Drone Racing Battle | Dude Perfect,06-06-2016,23752415,265435,22996,Jun
342,Tennis Trick Shots ft. Serena Williams | Dude Perfect,23-05-2016,36667190,499256,82175,May
343,World Record Edition | Dude Perfect,16-05-2016,127293602,1936888,81476,May
344,Lawnmower Racing Battle | Dude Perfect,02-05-2016,40457244,363496,25814,May
345,Giant Pictionary Battle | Dude Perfect,18-04-2016,48775141,401881,129691,Apr
346,Golf Trick Shots | Dude Perfect,04-04-2016,28099516,267040,14388,Apr
347,Softball Stereotypes,21-03-2016,86051568,637476,39175,Mar
348,Giant Nerf Edition | Dude Perfect,07-03-2016,87296570,783938,33802,Mar
349,Bass Pro Edition | Dude Perfect,22-02-2016,38125958,341939,21282,Feb
350,Giant Basketball Arcade Battle | Dude Perfect,08-02-2016,96017788,662553,35277,Feb
351,Mountain Top Snow Battle | Dude Perfect,01-02-2016,35435152,342508,29713,Feb
352,Soccer Trick Shots | Dude Perfect,18-01-2016,94323056,892731,39380,Jan
353,Make-A-Wish Edition | Dude Perfect,04-01-2016,29886231,537154,40219,Jan
354,Chris Paul & Aaron Rodgers Edition | Dude Perfect,22-12-2015,25789288,258198,14194,Dec
355,Archery Kart Battle ft. Luke Bryan | Dude Perfect,14-12-2015,36611499,316926,16287,Dec
356,RC Edition | Dude Perfect,07-12-2015,229985409,1435406,31624,Dec
357,Snow Sports Battle | Dude Perfect,23-11-2015,36530662,296615,17007,Nov
358,Blitzball Trick Shots | Dude Perfect,29-10-2015,28518655,228638,11039,Oct
359,Bubble Gum Blowing Battle | Dude Perfect,19-10-2015,92573051,648361,29012,Oct
360,Hunting Stereotypes,05-10-2015,109118112,783066,27711,Oct
361,Slip and Slide Football Battle | Dude Perfect,28-09-2015,66135769,516698,40891,Sep
362,Tailgating Trick Shots | Dude Perfect,07-09-2015,18979881,163566,7875,Sep
363,Plastic Golf Club Battle | Dude Perfect,24-08-2015,86866426,516865,23523,Aug
364,Driving Stereotypes ft. Dale Jr,17-08-2015,141726140,946262,40119,Aug
365,Nerf Blasters Battle | Dude Perfect,10-08-2015,71934712,525992,21752,Aug
366,Paintball Trick Shots | Dude Perfect,27-07-2015,23440000,211719,9045,Jul
367,RC Battle | Dude Perfect,20-07-2015,80862216,534632,13031,Jul
368,Dizzy Sports Battle 2 | Dude Perfect,08-07-2015,48342014,393179,19764,Jul
369,Lacrosse Trick Shots | Dude Perfect,29-06-2015,32582104,250690,13897,Jun
370,All Sports Golf Battle | Dude Perfect,08-06-2015,138303243,556509,18312,Jun
371,iPhone Game Battle | Dude Perfect 2,04-06-2015,48842027,332209,11789,Jun
372,Exploding Action Figures | Dude Perfect,25-05-2015,10540014,111360,5908,May
373,Dizzy Sports Battle | Dude Perfect,04-05-2015,47534650,340795,21496,May
374,Epic Trick Shot Edition | Dude Perfect,20-04-2015,22718460,183169,9651,Apr
375,XPOGO Edition | Dude Perfect,06-04-2015,57783552,490534,13830,Apr
376,Backwards Edition | Dude Perfect,23-03-2015,87162129,795576,27810,Mar
377,Shark Fishing Battle | Dude Perfect,16-03-2015,79120626,603332,33355,Mar
378,Long Drive Trick Shots | Dude Perfect,02-03-2015,35109669,242282,9259,Mar
379,Ping Pong Trick Shots 2 | Dude Perfect,16-02-2015,222661304,2189840,68901,Feb
380,Odell Beckham Jr. Edition | Dude Perfect,02-02-2015,33825523,265815,30170,Feb
381,Bubble Wrap Battle | Dude Perfect,26-01-2015,106434494,912160,27313,Jan
382,Dad Edition | Dude Perfect,22-01-2015,47922119,426991,55882,Jan
383,Super Bowl Party Stereotypes,19-01-2015,80609193,563407,22877,Jan
384,Pool Trick Shots | Dude Perfect,22-12-2014,81923055,655677,47281,Dec
385,Russell Wilson Edition | Dude Perfect,24-11-2014,26686705,203000,21787,Nov
386,Archery Trick Shots | Dude Perfect,10-11-2014,56187956,558210,53931,Nov
387,Glow In The Dark Edition | Dude Perfect,27-10-2014,26043289,264251,13973,Oct
388,Dallas Stars Edition | Dude Perfect,13-10-2014,18555027,130370,6733,Oct
389,Exploding Basketball Pyramid | Dude Perfect,29-09-2014,12512648,86393,10319,Sep
390,Nerf Blasters: Lake House Edition | Dude Perfect,15-09-2014,30785310,198649,14060,Sep
391,Restaurant Stereotypes,01-09-2014,89641349,611023,38769,Sep
392,Gillette Stadium Trick Shots | Dude Perfect,18-08-2014,26231250,150881,32156,Aug
393,Desert Drifting Baseball Edition | Dude Perfect,28-07-2014,9325908,92695,6235,Jul
394,Old Office Edition | Dude Perfect,07-07-2014,66197635,264480,19991,Jul
395,World Cup Edition | Dude Perfect,30-06-2014,69415448,529173,49836,Jun
396,Red Cards in Rio Prank | Dude Perfect,23-06-2014,22134614,193973,18021,Jun
397,Exploding Flour | Dude Perfect,16-06-2014,6646988,54056,3590,Jun
398,Bowling Trick Shots | Dude Perfect,02-06-2014,102036962,682139,44249,Jun
399,Tim McGraw Trick Shots | Dude Perfect,19-05-2014,7508023,50984,10705,May
400,Movie Theater Stereotypes,12-05-2014,137632874,876405,46162,May
401,NFL Draft Training | Dude Perfect,28-04-2014,29117249,150059,23299,Apr
402,World's Longest Dunk Tank Throw | Dude Perfect,14-04-2014,17610409,106012,4667,Apr
403,Exploding Eggs | Dude Perfect,17-03-2014,14153769,94368,37353,Mar
404,Nerf Sports Edition | Dude Perfect,03-03-2014,26484217,128250,6982,Mar
405,Ping Pong Trick Shots | Dude Perfect,17-02-2014,76548703,510320,90084,Feb
406,Winter Olympics Edition | Dude Perfect,07-02-2014,24471463,185098,10014,Feb
407,Slam Dunk Edition | Dude Perfect,28-01-2014,37911219,180929,14494,Jan
408,Fantasy Factory Edition | Dude Perfect,21-01-2014,11168148,70552,4335,Jan
409,Gym Stereotypes,06-01-2014,146875911,1047107,68664,Jan
410,500 Foot Moving Goal Shot from Reunion Tower,31-12-2013,3928507,44718,5373,Dec
411,Kayaking Down an Escalator,02-12-2013,34930383,221567,14441,Dec
412,Madden Stereotypes,18-11-2013,68712148,410143,43684,Nov
413,Fishing Stereotypes,28-10-2013,112604618,622927,26340,Oct
414,Trick Shots and Cats,21-10-2013,17836250,129783,40837,Oct
415,Extreme Trick Shots | Dude Perfect,14-10-2013,23082260,146118,10332,Oct
416,Fantasy Football Stereotypes,23-09-2013,62306450,366164,26067,Sep
417,Nerf Sports Trick Shots | Dude Perfect,09-09-2013,24876864,73846,3662,Sep
418,Golf Stereotypes,02-09-2013,84138593,446008,29091,Sep
419,Pickup Basketball Stereotypes,19-08-2013,133467357,868948,68232,Aug
420,Nerf Blasters Edition | Dude Perfect,05-08-2013,117374501,670933,39753,Aug
421,Go Kart Battle | Dude Perfect,15-07-2013,26835833,173710,63691,Jul
422,NFL Kicking Edition | Dude Perfect,01-07-2013,38382449,201464,10072,Jul
423,STUNT DRIVING EDITION | Dude Perfect,17-06-2013,24395749,168958,9513,Jun
424,MASCOT SCHOOL  | Dude Perfect,07-05-2013,9404372,61266,30823,May
425,NASCAR Trick Shot Battle | Dude Perfect,11-04-2013,20594817,134534,4106,Apr
426,Crazy Arena Edition | Dude Perfect,04-04-2013,26365189,183034,9062,Apr
427,Wide Receiver Edition | Dude Perfect,07-03-2013,9085347,51890,2558,Mar
428,Johnny Football Edition | Dude Perfect,24-01-2013,15217509,75240,5053,Jan
429,BEST of BLOOPERS | Dude Perfect,17-11-2012,32916107,301576,14337,Nov
430,BASEBALL EDITION | Dude Perfect,09-11-2012,16262146,84673,6795,Nov
431,Epic Trick Shot Battle 2 | Dude Perfect,24-10-2012,23070069,139776,7312,Oct
432,Volleyball Trick Shots,24-08-2012,14962014,130742,2191,Aug
433,Paper Airplane Battle,21-08-2012,81065589,606590,32320,Aug
434,"USA Basketball Trick Shot (Feat. Lebron, Kobe, Carmelo etc.)",10-08-2012,16777339,155259,5246,Aug
435,Olympic Trick Shots | Dude Perfect,18-07-2012,13112172,75031,4001,Jul
436,Trick Squirts | Dude Perfect,26-06-2012,6291269,34712,1948,Jun
437,Wipeout Part 3 | Dude Perfect,05-04-2012,6168765,28023,1166,Apr
438,Play the Dude Perfect Game! - Official Trailer,02-03-2012,4639731,16401,1019,Mar
439,Worlds Largest SlingSHOT | EXTENDED EDITION | Dude Perfect,02-03-2012,12182727,106953,4828,Mar
440,Bow and Arrow Trick Shots | Dude Perfect,28-01-2012,12625330,77766,4336,Jan
441,Africa Edition | Dude Perfect,10-12-2011,7469137,137989,9893,Dec
442,Epic Trick Shot Battle | Dude Perfect,12-10-2011,26458800,187777,10658,Oct
443,Trampoline Edition | Dude Perfect,27-08-2011,12344787,64165,4088,Aug
444,Wipeout | Part 2 | Dude Perfect,23-07-2011,6234183,23777,632,Jul
445,Epic Football Trick Shots | Dude Perfect,09-05-2011,6673532,30565,2025,May
446,10 Million Point Shot | Dude Perfect,12-04-2011,16736344,105690,5873,Apr
447,Dallas Cowboys Edition | Dude Perfect,25-03-2011,2760246,13457,1172,Mar
448,WORLD RECORD Reliant Stadium Shot | Dude Perfect,16-03-2011,3127267,16503,1292,Mar
449,Dude Perfect™ on Jimmy Kimmel,22-01-2011,2588774,37684,1930,Jan
450,Epic Trick Shots | Dude Perfect,12-11-2010,2497752,15056,1430,Nov
451,Wipeout | Part 1 | Dude Perfect,29-10-2010,12127878,50162,1787,Oct
452,Playground Edition | Dude Perfect,24-09-2010,4476641,27111,2508,Sep
453,Front Flip Shot w/ Tyreke Evans | Dude Perfect,02-04-2010,3990514,16867,643,Apr
454,Dude Perfect Panda | Episode 4,26-02-2010,3036900,18958,909,Feb
455,Dude Perfect Panda | Episode 3,17-02-2010,3134362,18219,903,Feb
456,Dude Perfect Panda | Episode 2,17-02-2010,3145963,18738,908,Feb
457,Dude Perfect Panda | Episode 1,13-02-2010,4161246,31183,1185,Feb
458,Worlds Longest Basketball Shot | FIELD VIEW | Dude Perfect,18-09-2009,7559621,14610,3244,Sep
459,World's Longest Basketball Shot | 3rd DECK VIEW | Dude Perfect,18-09-2009,13903955,46597,4164,Sep
460,World's Longest Basketball Shot | Dude Perfect,18-09-2009,3993273,14388,2063,Sep
461,Trick Shot Basketball | Dude Perfect | Summer Camp,30-08-2009,21027581,99577,3889,Aug
462,Ramp Shot | Dude Perfect,27-08-2009,2084087,16273,1387,Aug
463,Golf Shot | Dude Perfect,19-06-2009,3384163,23866,1781,Jun
464,Ranch Edition | Dude Perfect,08-05-2009,5592727,45101,4138,May
465,Dude Perfect | Backyard Edition | Our 1st Video!,09-04-2009,45310465,1060784,82851,Apr
466,Epic Trick Shots | Dude Perfect,12-11-2010,2497752,15056,1430,Nov
467,Wipeout | Part 1 | Dude Perfect,29-10-2010,12127878,50162,1787,Oct
468,Playground Edition | Dude Perfect,24-09-2010,4476641,27111,2508,Sep
469,Front Flip Shot w/ Tyreke Evans | Dude Perfect,02-04-2010,3990514,16867,643,Apr
470,Dude Perfect Panda | Episode 4,26-02-2010,3036900,18958,909,Feb
471,Dude Perfect Panda | Episode 3,17-02-2010,3134362,18219,903,Feb
472,Dude Perfect Panda | Episode 2,17-02-2010,3145963,18738,908,Feb
473,Dude Perfect Panda | Episode 1,13-02-2010,4161246,31183,1185,Feb
474,Worlds Longest Basketball Shot | FIELD VIEW | Dude Perfect,18-09-2009,7559621,14610,3244,Sep
475,World's Longest Basketball Shot | 3rd DECK VIEW | Dude Perfect,18-09-2009,13903955,46597,4164,Sep
476,World's Longest Basketball Shot | Dude Perfect,18-09-2009,3993273,14388,2063,Sep
477,Trick Shot Basketball | Dude Perfect | Summer Camp,30-08-2009,21027581,99577,3889,Aug
478,Ramp Shot | Dude Perfect,27-08-2009,2084087,16273,1387,Aug
479,Golf Shot | Dude Perfect,19-06-2009,3384163,23866,1781,Jun
480,Ranch Edition | Dude Perfect,08-05-2009,5592727,45101,4138,May
481,Dude Perfect | Backyard Edition | Our 1st Video!,09-04-2009,45310465,1060784,82851,Apr
